[DROP] f=0.38 r=4 verse(run>=4+cited) | So, this is the conclusion, siddhānta, last instruction, ataeva māyā-moha chāḍi' buddhimān [Song: Durlabha mānava-janma labhiyā saḿsāre, Bhaktivinoda Ṭhākura, Kalyāna Kalpataru].
[KEEP] f=0.09 r=1 english    | One who is intelligent, really intelligent, should give up this maya-moha.
[KEEP] f=0.36 r=4 english    | nitya-tattva krishna-bhakti koruna sandhan, sadhya vastu krishna-prema - krishna-bhakti, paramartha - for which this life is meant, he should inquire about it.
[KEEP] f=0.08 r=1 english    | He should take all such care; how can I develop this krishna-bhakti?
[KEEP] f=0.14 r=1 english    | This maya-moha, what is this moha, delusion?
[KEEP] f=0.00 r=0 english    | It says in English - delusion, illusion-delusion, illusion, both illusion and delusion.
[DROP] f=0.44 r=11 verse(run>=4+cited) | In the fifth canto of Śrīmad Bhāgavatam, it is stated and Bhagavad-gītā also states, moha, attachment towards this so-called relationship: puṁsaḥ striyā mithunī-bhāvam etaṁ tayor mitho hṛdaya-granthim āhuḥ ato gṛha-kṣetra-sutāpta-vittair janasya moho ’yam ahaṁ mameti [Śrīmad Bhāgavatam 5.5.8].
[KEEP] f=0.27 r=2 english    | It is said, janasya moho yam aham mameti, I and mine.
[KEEP] f=0.00 r=0 english    | What is the base of this material world?
[KEEP] f=0.44 r=5 english    | pumsah striya mithuni-bhavam etam, Bhagavata says, this is Lord Rishabhadevas instruction in the fifth canto of Shrimad Bhagavatam.
[KEEP] f=0.33 r=4 english    | This is the base of the material world, pumsah striya mithuni-bhavam etam.
[KEEP] f=0.20 r=1 english    | This is based on the maithuna of purusha and stri.
[KEEP] f=0.00 r=0 english    | Male and female union - maithuna, sexual enjoyment, sexual union.
[KEEP] f=0.00 r=0 english    | This material world is based on it.
[KEEP] f=0.00 r=0 english    | This is the base of the material world, nothing else.
[DROP] f=0.27 r=8 run>=7     | puṁsaḥ striyā mithunī-bhāvam etaṁ tayor mitho hṛdaya-granthim āhuḥ, and [when] they unite, a very hard knot, granthi means knot, a very, very hard, very strong knot is there in the heart.
[KEEP] f=0.00 r=0 english    | It is very difficult to break.
[DROP] f=0.50 r=4 frac>=0.5  | This durja- grha-khalo yadustajya svajanam arca patham ca hitvā [?] These are all statements of Śrīmad Bhāgavatam.
[KEEP] f=0.04 r=1 english    | It is very difficult to give it up, dustyaja, means give it up, very difficult to give it up - this attachment, false attachment.
[KEEP] f=0.06 r=1 english    | Real attachment towards Krishna, but we are so much attached to these false things - temporary things.
[KEEP] f=0.09 r=1 english    | Bhaktivinoda describes in his song - it is very difficult - ya dustyaja - it is very difficult to give it up .
[KEEP] f=0.00 r=0 english    | This bondage, this attachment for family tie, the tie, bondage of this husband and wife, bondage, union - so strong - hard knot to break.
[DROP] f=0.72 r=11 frac>=0.5  | It is stated, puṁsaḥ striyā mithunī-bhāvam etaṁ tayor mitho hṛdaya-granthim āhuḥ ato gṛha-kṣetra-sutāpta-vittair janasya moho ’yam ahaṁ mameti.
[KEEP] f=0.05 r=1 english    | When male and female, related as husband and wife, united, the first thing required is griha, a house is required, isnt it?
[KEEP] f=0.00 r=0 english    | You have not yet got a house, [?
[KEEP] f=0.20 r=1 english    | laughter] griha is required first.
[KEEP] f=0.00 r=0 english    | You may be, when you were alone, staying anywhere.
[KEEP] f=0.00 r=0 english    | Sleeping on someone's veranda.
[KEEP] f=0.00 r=0 english    | With a wife, a house is required.
[KEEP] f=0.14 r=1 english    | First requirement, now it expands - griha.
[KEEP] f=0.27 r=3 english    | ato griha, then comes kshetra - some land and property for maintenance is required - ato griha, kshetra - then suta, children are born - progeny.
[KEEP] f=0.00 r=0 english    | And the wife always desires to have children.
[KEEP] f=0.00 r=0 english    | If the wife is devoid of children, that is misery for her.
[KEEP] f=0.00 r=0 english    | “Oh, I married this man, no children are coming out.
[KEEP] f=0.00 r=0 english    | You see.
[KEEP] f=0.00 r=0 english    | These are all these desires.
[KEEP] f=0.00 r=0 english    | Wifes desire.
[DROP] f=1.00 r=4 frac>=0.5  | ato gṛha, kṣetra, suta.
[KEEP] f=0.30 r=1 english    | Then apta, then vittaih - apta means these so-called relatives.
[KEEP] f=0.31 r=2 english    | Stri, the Sanskrit word stri, you follow, the Sanskrit word stri, bharya, wife, it says stri.
[KEEP] f=0.06 r=1 english    | The Sanskrit root stri means that which expands; it is the literary meaning - that which expands.
[DROP] f=0.50 r=1 frac>=0.5  | Strī expands.
[KEEP] f=0.33 r=1 english    | Stri means expand.
[KEEP] f=0.00 r=0 english    | You are one, you become two.
[KEEP] f=0.00 r=0 english    | Then children came out - three, four, five.
[KEEP] f=0.00 r=0 english    | Then son-in-law, father-in-law, daughter-in-law, so many expansions going on, going on, going on, going on.
[KEEP] f=0.00 r=0 english    | Isnt it?
[KEEP] f=0.25 r=1 english    | The wife expands, stri.
[KEEP] f=0.42 r=6 english    | ato griha, kshetra, suta, apta, apta means - so-called friends, relatives, expansions, vittaih; vittaih means material wealth, material property.
