clip	dur	words	wps	lead_sil	status	reasons
1	10.71	13	1.21	0.0	PASS	
2	9.06	14	1.55	0.0	PASS	
3	12.79	27	2.11	0.0	PASS	
4	13.2	19	1.44	0.0	PASS	
5	10.79	20	1.85	0.0	PASS	
6	12.92	16	1.24	0.32	PASS	
7	9.45	22	2.33	0.02	PASS	
8	12.25	20	1.63	0.0	PASS	
9	5.38	17	3.16	0.0	PASS	
10	10.38	22	2.12	0.0	PASS	
11	15.65	35	2.24	0.99	FAIL	lead_sil(0.99)
12	18.9	40	2.12	0.02	PASS	
13	14.74	25	1.7	0.0	PASS	
14	16.51	26	1.57	0.03	PASS	
15	9.43	31	3.29	0.0	PASS	
16	5.12	12	2.34	0.0	PASS	
17	11.49	16	1.39	0.46	PASS	
18	11.43	24	2.1	0.0	PASS	
19	16.54	26	1.57	0.0	PASS	
20	12.91	28	2.17	0.03	PASS	
21	12.84	23	1.79	0.0	PASS	
22	9.24	13	1.41	0.24	PASS	
23	9.98	22	2.2	0.38	PASS	
24	10.05	30	2.99	0.0	PASS	
25	11.79	21	1.78	0.03	PASS	
26	14.11	22	1.56	0.0	PASS	
27	11.07	19	1.72	0.0	PASS	
28	20.44	37	1.81	0.0	PASS	
29	13.51	28	2.07	0.05	PASS	
30	10.97	22	2.01	0.0	PASS	
31	12.98	22	1.69	0.0	PASS	
32	7.72	25	3.24	0.21	PASS	
33	20.0	19	0.95	0.11	PASS	
34	10.47	27	2.58	0.0	PASS	
35	15.67	27	1.72	0.0	PASS	
36	9.62	23	2.39	0.0	PASS	
37	12.19	12	0.98	0.0	PASS	
38	22.17	32	1.44	0.0	PASS	
39	9.88	21	2.13	0.0	PASS	
40	9.48	32	3.38	0.0	PASS	
41	9.69	20	2.06	0.1	PASS	
42	15.74	44	2.8	0.0	PASS	
43	10.22	22	2.15	0.0	PASS	
44	10.0	19	1.9	0.0	PASS	
45	13.36	31	2.32	0.0	PASS	
46	12.2	24	1.97	0.03	PASS	
47	10.77	22	2.04	0.0	PASS	
48	10.72	22	2.05	0.0	PASS	
49	10.2	19	1.86	0.0	PASS	
50	20.39	32	1.57	0.0	PASS	
51	4.78	7	1.46	0.0	PASS	
52	16.02	37	2.31	0.0	PASS	
53	14.8	27	1.82	0.0	PASS	
54	11.74	19	1.62	0.0	PASS	
55	11.24	19	1.69	0.06	PASS	
56	12.69	28	2.21	0.0	PASS	
57	12.76	25	1.96	0.34	PASS	
58	5.13	15	2.92	0.16	PASS	
59	10.0	18	1.8	0.0	PASS	
60	10.2	17	1.67	0.02	PASS	
61	14.58	39	2.67	0.02	PASS	
62	11.64	26	2.23	0.0	PASS	
63	8.77	18	2.05	0.0	PASS	
64	16.9	33	1.95	0.0	PASS	
65	6.21	15	2.42	0.0	PASS	
66	20.67	31	1.5	0.0	PASS	
67	20.54	35	1.7	0.05	PASS	
68	11.46	24	2.09	0.14	PASS	
69	20.56	33	1.61	0.19	PASS	
70	10.26	15	1.46	0.0	PASS	
71	7.72	18	2.33	0.02	PASS	
72	17.25	42	2.43	0.0	PASS	
73	21.45	25	1.17	1.58	FAIL	lead_sil(1.58)
74	14.09	19	1.35	0.1	PASS	
75	5.32	4	0.75	0.03	PASS	
76	9.55	18	1.88	0.0	PASS	
77	7.51	20	2.66	0.0	PASS	
78	13.01	18	1.38	0.0	PASS	
79	12.17	16	1.31	0.0	PASS	
80	26.42	3	0.11	0.0	FAIL	low_wps(0.11)
81	10.28	19	1.85	0.0	PASS	
82	13.56	15	1.11	0.0	PASS	
83	25.2	18	0.71	0.0	PASS	
84	13.01	17	1.31	0.0	PASS	
85	11.04	13	1.18	0.0	PASS	
86	14.38	17	1.18	0.0	PASS	
87	16.18	31	1.92	0.0	PASS	
88	20.69	36	1.74	0.0	PASS	
89	20.08	27	1.34	0.0	PASS	
90	10.79	26	2.41	0.0	PASS	
91	20.35	47	2.31	0.0	PASS	
92	10.62	21	1.98	0.0	PASS	
93	20.47	34	1.66	0.0	PASS	
94	21.42	48	2.24	0.0	PASS	
95	9.79	23	2.35	0.0	PASS	
96	14.44	39	2.7	0.0	PASS	
97	16.04	33	2.06	0.0	PASS	
98	9.39	24	2.56	0.0	PASS	
99	12.33	25	2.03	0.0	PASS	
100	24.69	24	0.97	0.0	PASS	
101	26.88	23	0.86	0.0	PASS	
102	20.04	27	1.35	0.0	PASS	
103	22.38	35	1.56	0.0	PASS	
104	13.15	26	1.98	0.06	PASS	
105	20.8	52	2.5	0.0	PASS	
106	10.49	22	2.1	0.0	PASS	
107	20.62	6	0.29	0.0	FAIL	low_wps(0.29)
108	20.38	8	0.39	0.02	FAIL	low_wps(0.39)
109	18.6	6	0.32	0.02	FAIL	low_wps(0.32)
110	21.68	42	1.94	0.0	PASS	
111	11.21	12	1.07	0.0	PASS	
112	17.22	14	0.81	0.0	PASS	
113	15.06	21	1.39	0.0	PASS	
114	20.2	17	0.84	0.0	PASS	
115	20.14	28	1.39	0.02	PASS	
116	9.49	16	1.69	0.0	PASS	
117	4.6	8	1.74	0.0	PASS	
118	18.01	38	2.11	0.0	PASS	
119	16.19	30	1.85	0.0	PASS	
120	10.99	16	1.46	0.0	PASS	
121	12.0	14	1.17	0.0	PASS	
122	12.13	15	1.24	0.0	PASS	
123	10.35	9	0.87	0.1	PASS	
124	14.39	17	1.18	0.0	PASS	
125	10.23	13	1.27	0.03	PASS	
126	11.61	21	1.81	0.0	PASS	
127	12.74	23	1.81	0.0	PASS	
128	23.77	32	1.35	0.0	PASS	
129	13.52	24	1.78	0.08	PASS	
130	9.63	14	1.45	0.0	PASS	
131	20.63	29	1.41	0.0	PASS	
132	20.97	37	1.76	0.0	PASS	
133	19.71	17	0.86	0.0	PASS	
