clip	dur	align_min	align_mean	cer_raw	cer_core	wer	sanskrit_load	lead	trail	status	reasons
1	10.55	-29.437	-7.879	0.7381	0.9032	1.0	-0.1651	0.02	0.01	FAIL	high_cer_core(0.90)
2	18.33	-26.639	-9.171	0.4258	0.4765	0.7097	-0.0506	0.0	0.17	PASS	
3	7.85	-22.913	-8.332	0.6726	0.6829	0.8824	-0.0104	0.0	0.01	PASS	
4	4.86	-27.006	-9.37	0.7333	0.0	1.0	0.7333	0.0	0.01	PASS	
5	5.64	-47.319	-7.481	0.7627	1.25	1.0	-0.4873	0.0	0.0	FAIL	high_cer_core(1.25)
6	14.42	-27.824	-11.027	0.3089	0.2895	0.55	0.0195	0.35	0.0	PASS	
7	6.78	-31.663	-10.954	0.6832	0.5882	0.8333	0.0949	0.0	0.03	PASS	
8	9.37	-16.868	-7.117	0.4026	0.3611	0.6154	0.0415	0.03	0.01	PASS	
9	4.74	-30.332	-9.694	0.8767	0.8333	1.0	0.0434	0.0	0.04	PASS	
10	4.56	-19.549	-7.11	0.5625	0.5625	0.7	0.0	0.1	0.35	PASS	
11	7.0	-18.669	-9.519	0.7903	2.2308	1.4444	-1.4404	0.58	0.01	FAIL	high_cer_core(2.23)
12	8.51	-33.811	-10.768	0.6392	0.631	0.9412	0.0082	0.0	0.01	PASS	
13	6.88	-23.716	-5.929	0.4156	0.3971	0.5556	0.0185	0.1	0.0	PASS	
14	10.16	-21.552	-9.513	0.8378	0.8378	1.0769	0.0	0.0	0.0	PASS	
15	11.64	-43.125	-12.933	0.4394	0.9333	1.0	-0.4939	0.0	0.01	FAIL	high_cer_core(0.93)
16	5.87	-15.988	-8.884	0.8909	0.8909	1.1	0.0	0.0	0.03	FAIL	high_cer_core(0.89)
17	10.24	-21.892	-11.052	0.7792	0.7465	1.1429	0.0327	0.0	0.0	PASS	
18	10.14	-23.465	-7.4	0.4688	0.4688	0.4167	0.0	0.0	0.05	PASS	
19	5.09	-10.931	-3.185	0.8431	0.7451	1.5	0.098	0.0	0.0	PASS	
20	8.62	-20.52	-7.741	0.6944	0.6591	1.0	0.0354	0.03	0.01	PASS	
21	8.08	-9.069	-4.817	0.7037	0.5763	0.9333	0.1274	0.08	0.0	PASS	
22	8.71	-7.168	-3.001	0.5733	0.5429	0.7143	0.0305	0.0	0.64	PASS	
23	10.73	-28.412	-6.977	0.3	0.2414	0.5556	0.0586	0.34	0.01	PASS	
24	12.81	-21.099	-6.803	0.6038	0.4058	0.8333	0.198	0.0	0.98	PASS	
25	8.21	-35.667	-9.03	0.8062	0.6429	0.7778	0.1633	0.0	0.0	PASS	
26	11.76	-19.573	-4.518	0.4375	0.4384	0.5625	-0.0009	0.0	0.0	PASS	
27	6.12	-10.407	-3.795	0.8909	0.7143	1.0	0.1766	0.0	0.01	PASS	
28	17.78	-18.615	-5.748	0.2463	0.1833	0.44	0.0629	0.0	0.0	PASS	
29	8.95	-21.338	-8.649	0.5942	0.7158	1.0	-0.1216	0.02	0.05	PASS	
30	6.38	-9.362	-4.603	0.9818	0.8776	1.5	0.1043	0.29	0.01	FAIL	high_cer_core(0.88)
31	19.32	-16.856	-4.883	0.3116	0.2965	0.5312	0.0151	0.0	0.05	PASS	
32	12.41	-12.757	-5.148	0.4328	0.4179	0.7778	0.0149	0.05	0.01	PASS	
33	10.74	-44.189	-10.21	0.7083	0.6866	0.8095	0.0218	0.03	0.04	PASS	
34	12.81	-25.091	-9.319	0.881	0.5075	0.8571	0.3735	0.27	0.01	PASS	
35	4.71	-27.715	-9.535	0.7931	0.875	1.2	-0.0819	0.11	0.01	FAIL	high_cer_core(0.88)
36	20.73	-27.167	-7.759	1.5422	3.0	2.2857	-1.4578	0.0	0.01	FAIL	high_cer_core(3.00)
37	4.79	-23.011	-6.262	0.726	0.726	0.8	0.0	0.0	0.01	PASS	
38	5.66	-30.713	-9.259	0.6	0.6182	0.8182	-0.0182	0.0	0.04	PASS	
39	20.43	-39.877	-10.345	0.8071	0.6327	0.8919	0.1744	0.0	0.01	PASS	
40	10.48	-46.779	-8.421	0.6972	0.7015	0.7778	-0.0042	0.0	0.01	PASS	
41	12.73	-41.796	-11.487	0.6575	0.5812	1.05	0.0763	0.0	0.01	PASS	
42	5.19	-38.851	-11.026	0.5312	0.5763	0.8571	-0.045	0.0	0.01	PASS	
43	4.84	-18.538	-7.251	0.7108	0.7108	0.8947	0.0	0.0	0.01	PASS	
44	9.97	-26.477	-6.981	0.6071	0.6147	0.9048	-0.0075	0.05	0.0	PASS	
45	10.44	-12.212	-4.79	0.3388	0.2381	0.56	0.1007	0.0	0.01	PASS	
46	9.38	-30.932	-7.342	0.5643	0.5455	0.6154	0.0188	0.0	0.0	PASS	
47	7.41	-16.794	-7.938	0.663	0.5176	0.8571	0.1454	0.0	0.0	PASS	
48	7.34	-27.826	-8.455	0.7176	0.9074	0.8571	-0.1898	0.03	0.09	FAIL	high_cer_core(0.91)
49	4.57	-23.402	-8.857	0.8481	0.9524	1.0	-0.1043	0.0	0.01	FAIL	high_cer_core(0.95)
50	4.49	-40.666	-17.688	0.7733	0.7895	1.5	-0.0161	0.0	0.01	PASS	
51	5.13	-19.628	-10.239	0.7179	7.75	1.6667	-7.0321	0.0	0.01	FAIL	high_cer_core(7.75)
52	6.41	-30.233	-11.054	0.6575	0.8462	1.0	-0.1886	0.0	0.01	PASS	
53	17.74	-27.13	-9.485	0.3542	0.5556	0.6429	-0.2014	0.0	0.01	PASS	
54	17.76	-41.166	-9.113	0.4829	0.2515	0.4474	0.2314	0.0	0.02	PASS	
55	6.02	-15.583	-7.972	0.7821	0.807	0.8462	-0.025	0.02	0.01	PASS	
56	9.18	-25.399	-6.114	0.4872	0.4872	0.5714	0.0	0.03	0.04	PASS	
57	6.82	-19.298	-5.268	0.6912	0.75	1.1	-0.0588	0.0	0.13	PASS	
58	5.33	-25.9	-13.204	0.7447	0.8621	1.0	-0.1174	0.03	0.0	FAIL	high_cer_core(0.86)
59	4.73	-12.622	-3.435	0.7872	0.7872	1.0	0.0	0.0	0.01	PASS	
60	6.04	-34.349	-9.413	0.7097	0.7059	1.0	0.0038	0.0	0.01	PASS	
61	12.26	-39.449	-10.534	0.6471	0.3077	0.7576	0.3394	0.0	0.0	PASS	
62	4.43	-30.846	-11.72	0.4658	0.4658	0.4545	0.0	0.0	0.14	PASS	
63	11.09	-33.498	-9.289	0.5108	0.5108	0.5417	0.0	0.0	0.02	PASS	
64	7.76	-22.468	-5.4	0.5046	0.5934	1.0625	-0.0888	0.03	0.03	PASS	
65	5.66	-37.939	-11.439	0.5135	0.5135	0.6667	0.0	0.0	0.01	PASS	
66	9.36	-14.851	-9.845	0.875	1.2353	1.0	-0.3603	0.0	0.0	FAIL	high_cer_core(1.24)
67	9.28	-38.094	-13.28	0.5214	0.4508	0.6087	0.0706	0.0	0.01	PASS	
68	9.0	-22.229	-8.861	0.5833	0.569	0.6471	0.0144	0.08	0.04	PASS	
